example_id                                                           | status  | run_time        |
./spec/helpers/layout_helper_spec.rb[1:4]                            | passed  | 0.11146 seconds |
./spec/helpers/spree/base_helper_spec.rb[1:1]                        | passed  | 0.2573 seconds  |
./spec/helpers/taxon_filters_helper_spec.rb[1:1]                     | passed  | 0.1844 seconds  |
./spec/helpers/taxons_helper_spec.rb[1:1:1]                          | passed  | 1.46 seconds    |
./spec/jobs/nsb/push_order_to_shipstation_job_spec.rb[1:1:1]         | passed  | 7.55 seconds    |
./spec/jobs/nsb/push_order_to_shipstation_job_spec.rb[1:2:1]         | passed  | 7.52 seconds    |
./spec/jobs/nsb/push_order_to_shipstation_job_spec.rb[1:2:2]         | passed  | 7.89 seconds    |
./spec/jobs/nsb/push_order_to_shipstation_job_spec.rb[1:2:3]         | passed  | 7.59 seconds    |
./spec/jobs/nsb/push_order_to_shipstation_job_spec.rb[1:2:4]         | passed  | 8.2 seconds     |
./spec/jobs/nsb/push_order_to_shipstation_job_spec.rb[1:3:1]         | passed  | 7.86 seconds    |
./spec/jobs/nsb/push_order_to_shipstation_job_spec.rb[1:3:2]         | passed  | 8.06 seconds    |
./spec/jobs/nsb/push_order_to_shipstation_job_spec.rb[1:4:1]         | passed  | 7.85 seconds    |
./spec/jobs/nsb/push_order_to_shipstation_job_spec.rb[1:4:2]         | passed  | 10.98 seconds   |
./spec/mailers/user_mailer_spec.rb[1:1:1:1:1]                        | passed  | 0.7081 seconds  |
./spec/mailers/user_mailer_spec.rb[1:1:1:1:2]                        | passed  | 0.67305 seconds |
./spec/mailers/user_mailer_spec.rb[1:1:1:2:1]                        | passed  | 2.32 seconds    |
./spec/mailers/user_mailer_spec.rb[1:1:2:1]                          | passed  | 0.35748 seconds |
./spec/models/nsb/demand_ranking_spec.rb[1:1:1]                      | passed  | 0.60798 seconds |
./spec/models/nsb/demand_ranking_spec.rb[1:1:2]                      | passed  | 0.61974 seconds |
./spec/models/nsb/demand_ranking_spec.rb[1:1:3]                      | passed  | 0.57224 seconds |
./spec/models/nsb/demand_ranking_spec.rb[1:1:4]                      | passed  | 0.65314 seconds |
./spec/models/nsb/demand_ranking_spec.rb[1:2:1]                      | passed  | 0.58024 seconds |
./spec/models/nsb/demand_ranking_spec.rb[1:2:2]                      | passed  | 0.61232 seconds |
./spec/models/nsb/demand_ranking_spec.rb[1:2:3]                      | passed  | 0.61378 seconds |
./spec/models/nsb/demand_ranking_spec.rb[1:3:1]                      | passed  | 0.64393 seconds |
./spec/models/nsb/demand_ranking_spec.rb[1:3:2]                      | passed  | 0.6462 seconds  |
./spec/models/nsb/demand_ranking_spec.rb[1:4:1]                      | passed  | 0.69787 seconds |
./spec/models/nsb/demand_ranking_spec.rb[1:4:2]                      | passed  | 0.84052 seconds |
./spec/models/nsb/demand_ranking_spec.rb[1:4:3]                      | passed  | 1.12 seconds    |
